order,size,diameter,radius,average_shortest_path_length,density,graph_clique_number,graph_number_of_cliques,transitivity,local_efficiency,global_efficiency,degree_avg,degree_min,degree_max,degree_qt95,degree_qt75,degree_qt66,degree_qt50,degree_qt33,degree_qt20,degree_qt10,degree_qt05,clustering_avg,clustering_min,clustering_max,clustering_qt95,clustering_qt75,clustering_qt66,clustering_qt50,clustering_qt33,clustering_qt20,clustering_qt10,clustering_qt05,triangles_avg,triangles_min,triangles_max,triangles_qt95,triangles_qt75,triangles_qt66,triangles_qt50,triangles_qt33,triangles_qt20,triangles_qt10,triangles_qt05,degree_centrality_avg,degree_centrality_min,degree_centrality_max,degree_centrality_qt95,degree_centrality_qt75,degree_centrality_qt66,degree_centrality_qt50,degree_centrality_qt33,degree_centrality_qt20,degree_centrality_qt10,degree_centrality_qt05,closeness_centrality_avg,closeness_centrality_min,closeness_centrality_max,closeness_centrality_qt95,closeness_centrality_qt75,closeness_centrality_qt66,closeness_centrality_qt50,closeness_centrality_qt33,closeness_centrality_qt20,closeness_centrality_qt10,closeness_centrality_qt05
12,22,5,3,2.242424242424242,0.3333333333333333,3,11,0.515625,0.7828703703703704,0.5898989898989897,3.6666666666666665,2.0,5.0,5.0,4.0,4.0,4.0,3.6666666666666665,3.0,2.1,2.0,0.6083333333333334,0.4,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.41000000000000003,0.4,2.75,1.0,4.0,4.0,3.25,3.0,3.0,2.6666666666666665,2.0,1.1,1.0,0.3333333333333333,0.18181818181818182,0.4545454545454546,0.4545454545454546,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.3333333333333333,0.2727272727272727,0.19090909090909092,0.18181818181818182,0.4613879281196421,0.3235294117647059,0.5789473684210527,0.5630263157894737,0.5125,0.5,0.4891304347826087,0.42428571428571427,0.38201970443349753,0.3473060344827586,0.33465073529411765
20,37,8,4,3.357894736842105,0.19473684210526315,4,17,0.4956521739130435,0.7643055555555557,0.4425187969924815,3.7,2.0,6.0,5.050000000000001,5.0,4.666666666666666,3.5,3.0,2.8000000000000003,2.0,2.0,0.6216666666666667,0.3333333333333333,1.0,1.0,0.75,0.6666666666666666,0.5,0.5,0.4,0.39333333333333337,0.3333333333333333,2.85,1.0,6.0,5.050000000000001,4.0,3.666666666666666,2.5,2.0,1.0,1.0,1.0,0.19473684210526315,0.10526315789473684,0.3157894736842105,0.2657894736842106,0.2631578947368421,0.24561403508771926,0.18421052631578946,0.15789473684210525,0.1473684210526316,0.10526315789473684,0.10526315789473684,0.30954670224846687,0.2087912087912088,0.41304347826086957,0.4046947271045328,0.3584905660377358,0.33949843260188084,0.3089635113696457,0.2825332125603865,0.2526666666666667,0.24034188034188034,0.210995115995116
4,5,2,1,1.1666666666666667,0.8333333333333334,3,2,0.75,0.9166666666666667,0.9166666666666666,2.5,2.0,3.0,3.0,3.0,3.0,2.5,2.0,2.0,2.0,2.0,0.8333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,0.8333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.5,1.0,2.0,2.0,2.0,2.0,1.5,1.0,1.0,1.0,1.0,0.8333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,0.8333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.875,0.75,1.0,1.0,1.0,1.0,0.875,0.75,0.75,0.75,0.75
