order,size,diameter,radius,average_shortest_path_length,density,graph_clique_number,graph_number_of_cliques,transitivity,local_efficiency,global_efficiency,degree_avg,degree_min,degree_max,degree_qt95,degree_qt75,degree_qt66,degree_qt50,degree_qt33,degree_qt20,degree_qt10,degree_qt05,clustering_avg,clustering_min,clustering_max,clustering_qt95,clustering_qt75,clustering_qt66,clustering_qt50,clustering_qt33,clustering_qt20,clustering_qt10,clustering_qt05,triangles_avg,triangles_min,triangles_max,triangles_qt95,triangles_qt75,triangles_qt66,triangles_qt50,triangles_qt33,triangles_qt20,triangles_qt10,triangles_qt05,degree_centrality_avg,degree_centrality_min,degree_centrality_max,degree_centrality_qt95,degree_centrality_qt75,degree_centrality_qt66,degree_centrality_qt50,degree_centrality_qt33,degree_centrality_qt20,degree_centrality_qt10,degree_centrality_qt05,closeness_centrality_avg,closeness_centrality_min,closeness_centrality_max,closeness_centrality_qt95,closeness_centrality_qt75,closeness_centrality_qt66,closeness_centrality_qt50,closeness_centrality_qt33,closeness_centrality_qt20,closeness_centrality_qt10,closeness_centrality_qt05
9,13,5,3,2.2222222222222223,0.3611111111111111,3,6,0.5357142857142857,0.6358024691358025,0.603703703703704,2.888888888888889,1.0,4.0,4.0,3.0,3.0,3.0,3.0,2.6,1.8,1.4,0.537037037037037,0.0,1.0,0.8666666666666665,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.3333333333333333,0.26666666666666666,0.13333333333333333,1.6666666666666667,0.0,3.0,2.5999999999999996,2.0,2.0,2.0,1.6666666666666665,1.0,0.8,0.4,0.3611111111111111,0.125,0.5,0.5,0.375,0.375,0.375,0.375,0.325,0.225,0.175,0.46945354840091685,0.3076923076923077,0.6153846153846154,0.5825641025641025,0.5333333333333333,0.5333333333333333,0.5,0.41403508771929826,0.3923809523809524,0.3663003663003663,0.336996336996337
14,24,7,4,2.967032967032967,0.26373626373626374,4,10,0.5454545454545454,0.7603174603174602,0.5011250654107798,3.4285714285714284,2.0,6.0,5.35,4.0,3.666666666666666,3.0,3.0,3.0,2.3,2.0,0.6357142857142858,0.3333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.46,0.35333333333333333,0.3333333333333333,2.5714285714285716,1.0,6.0,5.35,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.2637362637362638,0.15384615384615385,0.46153846153846156,0.4115384615384615,0.3076923076923077,0.28205128205128205,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.17692307692307693,0.15384615384615385,0.34861607773404363,0.23636363636363636,0.4482758620689655,0.4385632183908046,0.4073732718894009,0.367989417989418,0.34672830725462306,0.31100478468899523,0.28888888888888886,0.2844927536231884,0.26642292490118574
4,3,3,2,1.6666666666666667,0.5,2,3,0.0,0.0,0.7222222222222222,1.5,1.0,2.0,2.0,2.0,2.0,1.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.625,0.5,0.75,0.75,0.75,0.75,0.625,0.5,0.5,0.5,0.5
