centroid-0,centroid-1,area,perimeter,area_bbox,area_convex,axis_major_length,axis_minor_length,eccentricity,extent,solidity
5399.7552742616035,11143.93670886076,711,147.92388155425118,1080,866,59.114741378396225,17.57404192006372,0.9547881763823234,0.6583333333333333,0.8210161662817552
5426.246132208157,11225.236286919831,4977,540.9087296526011,8170,7092,99.93458697993003,83.70509560115545,0.5462857847082069,0.6091799265605875,0.7017766497461929
5474.034281546316,11153.719183078045,1371,186.27922061357856,2296,1541,54.19846936486826,33.65027392621311,0.7839125165248314,0.5971254355400697,0.8896820246593121
5494.7617328519855,11213.29963898917,277,67.74011537017762,486,295,24.729010254987855,15.030935088053122,0.7940702540909815,0.5699588477366255,0.9389830508474576
5389.307524536533,11502.286804798256,917,114.32590180780451,1147,940,37.983435867936905,31.28362026762909,0.5671534038720741,0.7994768962510898,0.975531914893617
5423.317708333333,11483.291666666666,192,51.11269837220809,272,204,17.409647346962572,14.183724855699113,0.5798757966153544,0.7058823529411765,0.9411764705882353
5421.1,11466.0,40,21.798989873223334,72,40,7.4833147735478835,7.031358332498779,0.3422613871631696,0.5555555555555556,1.0
5469.642857142857,11488.5,56,26.627416997969522,100,57,10.457267428089931,7.012572294266017,0.7418253010295234,0.56,0.9824561403508771
5490.213275299238,11485.25571273123,919,205.39191898578665,1525,1265,68.65457958474423,22.192450018717583,0.9463143148569195,0.6026229508196721,0.7264822134387352
5496.621428571429,11399.7,140,42.87005768508881,195,146,14.583374600424513,12.279744461478153,0.5394194015050492,0.717948717948718,0.958904109589041
5399.251479289941,11712.852071005917,338,102.36753236814712,806,475,35.595787960496196,16.779224635955675,0.8819289772846456,0.41935483870967744,0.7115789473684211
5395.286206896551,11753.427586206897,290,102.50966799187809,620,375,28.14600069399446,16.4046201689792,0.8125868090036389,0.46774193548387094,0.7733333333333333
5441.157692307693,11755.8,520,92.46803743153546,783,549,31.53317169595653,21.362936575402895,0.735545768758829,0.6641123882503193,0.9471766848816029
5442.773148148148,11713.347222222223,216,57.840620433565945,320,230,19.094701584333936,14.551669387656158,0.6474841569776121,0.675,0.9391304347826087
5417.021505376344,12019.861559139785,744,106.5685424949238,999,771,35.71853249250324,27.39636025053658,0.6416388722404456,0.7447447447447447,0.9649805447470817
5476.994583948794,11973.85425898572,2031,315.38077169749346,4500,3027,74.22148826887623,53.43752347518205,0.6940012930384261,0.4513333333333333,0.6709613478691774
5479.587458745875,12023.910891089108,303,76.5685424949238,435,341,29.145144351559217,13.671810069232453,0.8831482844934423,0.696551724137931,0.8885630498533724
5478.0,11938.0,25,16.970562748477143,49,25,5.768882040742383,5.768882040742383,0.0,0.5102040816326531,1.0
5400.362106406081,12518.93213897937,1842,182.65180361560903,2475,2029,58.69295097523641,42.06836871209797,0.6973267870829483,0.7442424242424243,0.9078363725973386
5438.071428571428,12527.857142857143,56,25.79898987322333,90,57,9.006668757352582,8.047202552175325,0.44911973716389747,0.6222222222222222,0.9824561403508771
5485.166482910695,12522.78500551268,907,118.12489168102783,1224,947,37.228614666671,31.393867181725412,0.5374862610030402,0.7410130718954249,0.9577613516367476
5473.929824561404,12493.649122807017,57,26.627416997969522,100,58,9.60860318825785,7.78289681570136,0.5864401928126858,0.57,0.9827586206896551
5494.233443708609,12485.185430463576,604,127.47413408594535,989,755,43.29969941630021,20.04445481605907,0.8863981588520337,0.6107178968655207,0.8
5399.822447992259,27371.34542815675,2067,193.4386001800126,2891,2168,63.81229464430617,43.88898752623721,0.7259167035995369,0.7149775164303009,0.9534132841328413
5431.157534246576,27321.54611872146,2190,249.36248173426378,4042,2717,91.17797559894453,36.674123359307714,0.9155405514030139,0.5418109846610589,0.806036069193964
5493.2425,27357.7725,400,77.49747468305833,546,423,25.08917814882132,20.49302661435609,0.5769104397709993,0.7326007326007326,0.9456264775413712
5388.63524590164,27536.090163934427,732,117.19595949289332,1147,798,39.11959005169701,25.463784818258436,0.7591449893784961,0.6381865736704446,0.9172932330827067
5393.745716862038,27624.519386834985,1109,143.92388155425118,1628,1176,47.64673299591213,31.77357084949631,0.7451854573117465,0.6812039312039312,0.9430272108843537
5480.690547862733,27625.8597230584,1661,154.95331880577402,2024,1697,48.3907956918378,44.328230373150525,0.40107154002745543,0.8206521739130435,0.9787860931054803
5382.494163424125,27841.43579766537,257,61.59797974644667,345,265,22.87675077510883,14.435561757582153,0.7757710254519441,0.744927536231884,0.969811320754717
5415.978181818182,27814.8,275,62.42640687119285,399,287,21.3796454776247,16.539359584017422,0.6336704783286428,0.6892230576441103,0.9581881533101045
5472.544050343249,27888.887871853545,1748,191.3380951166243,2278,1982,75.22315277341824,32.468259394761496,0.9020527152345078,0.7673397717295873,0.8819374369323916
5467.327586206897,27783.6065830721,638,112.08326112068522,836,718,47.71987110768704,18.30428365493786,0.9235085617599601,0.7631578947368421,0.8885793871866295
5406.110957004161,28127.732316227462,2163,190.59292911256333,3120,2261,60.13204151805735,46.13305494310895,0.6414128706416238,0.6932692307692307,0.9566563467492261
5421.309709425939,28054.571934798016,1411,143.19595949289334,1872,1459,47.4806089645105,38.099497480653866,0.5967566665319913,0.7537393162393162,0.9671007539410555
5481.828037383178,28140.332710280374,1070,131.92388155425118,1722,1123,46.56277148652643,29.914965429243516,0.7663147689585028,0.6213704994192799,0.9528049866429208
5498.26,28090.82,100,37.21320343559643,144,104,15.045818700511338,8.496077896967712,0.8253097132629414,0.6944444444444444,0.9615384615384616
5649.227272727273,8406.772727272728,44,23.213203435596427,81,44,8.94427190999916,6.479465338620168,0.6893523130955955,0.5432098765432098,1.0
