centroid-0,centroid-1,area,perimeter,area_bbox,area_convex,axis_major_length,axis_minor_length,eccentricity,extent,solidity
5428.872080679405,10152.001061571125,1884,264.71782079359116,3843,2425,66.08468778478357,45.562119940486554,0.7243328177704275,0.49024199843871974,0.7769072164948454
5410.917485265226,10219.50884086444,509,93.39696961966999,768,555,33.072593054132874,20.119365808450638,0.7936768944480024,0.6627604166666666,0.9171171171171171
5409.160194174758,10123.902912621359,206,56.083261120685236,306,214,16.569435574412477,16.15697169731195,0.22173508184819712,0.673202614379085,0.9626168224299065
5490.517281105991,10138.255760368664,868,120.95331880577403,1247,918,42.61912256790441,26.95646796959326,0.7745627935577204,0.6960705693664796,0.9455337690631809
5399.379639448568,10388.760339342523,943,121.6812408671319,1365,987,38.03095138268976,31.75341908801639,0.5503467047845645,0.6908424908424908,0.955420466058764
5422.942857142857,10374.504761904762,105,38.526911934581186,182,111,13.01638836834767,10.576122137528774,0.582928361092435,0.5769230769230769,0.9459459459459459
5462.320209973754,10484.354330708662,381,91.05382386916237,754,442,33.796081620237,15.94749177429825,0.8816660028192833,0.5053050397877984,0.8619909502262444
5476.984848484848,10443.6341991342,462,106.02438661763952,870,556,26.697055399041346,25.20765014542678,0.3293414883532377,0.5310344827586206,0.8309352517985612
5486.962190352021,10381.116036505868,767,106.22539674441617,990,788,34.69539847638895,28.466158509480326,0.5717050975341111,0.7747474747474747,0.9733502538071066
5492.455882352941,10488.995098039215,204,54.76955262170047,300,216,19.26232277083075,13.768037119237542,0.6993645496628543,0.68,0.9444444444444444
5388.683478260869,10738.986086956522,575,95.1543289325507,784,609,28.857405619284165,26.175771700179354,0.42097349681417656,0.7334183673469388,0.9441707717569786
5436.72852233677,10710.690721649484,582,93.39696961966999,783,614,28.189843161651567,26.634042725415696,0.32761908440938,0.7432950191570882,0.9478827361563518
5436.679389312977,10745.740458015267,131,42.2842712474619,204,136,15.526107034341479,10.828467861407985,0.7166469544907544,0.6421568627450981,0.9632352941176471
5495.0,10701.3031496063,254,66.32590180780451,408,273,21.751332455582673,15.779724099204909,0.68826421131298,0.6225490196078431,0.9304029304029304
5382.5,10920.285714285714,56,27.45584412271571,100,58,9.669043919688445,7.675790053436977,0.6081109843635091,0.56,0.9655172413793104
5455.418181818181,10917.981818181817,55,26.627416997969522,99,57,9.850315826646908,7.292883801924127,0.6721989588829101,0.5555555555555556,0.9649122807017544
5469.286057692308,10895.435096153846,832,111.29646455628165,1155,871,33.1664023703826,32.34902229513049,0.22064060438809405,0.7203463203463204,0.9552238805970149
5479.788413098237,10977.255037783376,1588,151.92388155425118,2208,1636,47.327798474708935,43.080208250541666,0.41405539750275516,0.7192028985507246,0.9706601466992665
5472.083333333333,9659.029720279721,1716,171.03657992645927,2736,1790,60.29650504377922,36.70954713774859,0.7933105710082213,0.6271929824561403,0.958659217877095
5429.147676496872,9927.109919571045,4476,423.2274887854693,8118,5567,127.5026043214666,49.99723257692541,0.9199110282595152,0.5513673318551368,0.8040237111550207
5406.56,9975.868,250,57.941125496954285,323,255,19.755838965019265,16.269555703467333,0.5672705421022186,0.7739938080495357,0.9803921568627451
5484.966549295775,9973.139084507042,568,109.29646455628165,962,660,37.27602494494418,21.727541095721058,0.8125564832983582,0.5904365904365905,0.8606060606060606
5480.718390804598,9884.16091954023,174,52.42640687119285,288,188,18.97882427922695,11.97532479318443,0.7757962583421413,0.6041666666666666,0.925531914893617
5494.729411764706,9894.011764705883,85,41.35533905932738,150,107,15.386589179096909,8.300765050482834,0.841998084446935,0.5666666666666667,0.794392523364486
